<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ВТБ ао;M;01.07.20;00:00:00;0,038755;873603110000
ВТБ ао;M;01.08.20;00:00:00;0,03595;965851250000
ГАЗПРОМ ао;M;01.12.12;00:00:00;143,7;638968460
ГАЗПРОМ ао;M;01.01.13;00:00:00;142,09;495283520
ГАЗПРОМ ао;M;01.02.13;00:00:00;137,4;733770920
ГАЗПРОМ ао;M;01.03.13;00:00:00;134,08;953973070
ГАЗПРОМ ао;M;01.04.13;00:00:00;124,15;986321760
ГАЗПРОМ ао;M;01.05.13;00:00:00;123,4;813775000
ГАЗПРОМ ао;M;01.06.13;00:00:00;109,1;769293390
ГАЗПРОМ ао;M;01.07.13;00:00:00;128,61;879462790
ГАЗПРОМ ао;M;01.08.13;00:00:00;131,9;635494510
ГАЗПРОМ ао;M;01.09.13;00:00:00;144,15;1035314530
ГАЗПРОМ ао;M;01.10.13;00:00:00;150,4;1120379070
ГАЗПРОМ ао;M;01.11.13;00:00:00;143,1;1035969280
ГАЗПРОМ ао;M;01.12.13;00:00:00;138,75;1050788060
ГАЗПРОМ ао;M;01.01.14;00:00:00;145,16;1056510690
ГАЗПРОМ ао;M;01.02.14;00:00:00;139,2;1110186930
ГАЗПРОМ ао;M;01.03.14;00:00:00;135,5;2038314440
ГАЗПРОМ ао;M;01.04.14;00:00:00;128,77;1377698400
ГАЗПРОМ ао;M;01.05.14;00:00:00;141,7;1168270410
ГАЗПРОМ ао;M;01.06.14;00:00:00;148,96;885913470
ГАЗПРОМ ао;M;01.07.14;00:00:00;132;1004959980
ГАЗПРОМ ао;M;01.08.14;00:00:00;131,95;851294800
ГАЗПРОМ ао;M;01.09.14;00:00:00;137,9;797896850
ГАЗПРОМ ао;M;01.10.14;00:00:00;141,5;857933800
ГАЗПРОМ ао;M;01.11.14;00:00:00;142,86;691989260
ГАЗПРОМ ао;M;01.12.14;00:00:00;130,31;983856510
ГАЗПРОМ ао;M;01.01.15;00:00:00;143,82;652102830
ГАЗПРОМ ао;M;01.02.15;00:00:00;152,95;919520350
ГАЗПРОМ ао;M;01.03.15;00:00:00;138,9;718069290
ГАЗПРОМ ао;M;01.04.15;00:00:00;153,5;821523460
ГАЗПРОМ ао;M;01.05.15;00:00:00;139;472091480
ГАЗПРОМ ао;M;01.06.15;00:00:00;145,85;533051950
ГАЗПРОМ ао;M;01.07.15;00:00:00;142,5;543868920
ГАЗПРОМ ао;M;01.08.15;00:00:00;148,19;654231910
ГАЗПРОМ ао;M;01.09.15;00:00:00;134,55;646257900
ГАЗПРОМ ао;M;01.10.15;00:00:00;135,75;727388150
ГАЗПРОМ ао;M;01.11.15;00:00:00;138;785173850
ГАЗПРОМ ао;M;01.12.15;00:00:00;136,09;632658380
ГАЗПРОМ ао;M;01.01.16;00:00:00;136,6;614480400
ГАЗПРОМ ао;M;01.02.16;00:00:00;141,4;642613120
ГАЗПРОМ ао;M;01.03.16;00:00:00;147,75;731620780
ГАЗПРОМ ао;M;01.04.16;00:00:00;168,47;941606540
ГАЗПРОМ ао;M;01.05.16;00:00:00;145,5;662677050
ГАЗПРОМ ао;M;01.06.16;00:00:00;139,51;538549300
ГАЗПРОМ ао;M;01.07.16;00:00:00;137,3;505531930
ГАЗПРОМ ао;M;01.08.16;00:00:00;134,95;472860350
ГАЗПРОМ ао;M;01.09.16;00:00:00;134,9;567536440
ГАЗПРОМ ао;M;01.10.16;00:00:00;138,84;409341480
ГАЗПРОМ ао;M;01.11.16;00:00:00;148,8;735320710
ГАЗПРОМ ао;M;01.12.16;00:00:00;154,55;680484920
ГАЗПРОМ ао;M;01.01.17;00:00:00;149,8;508472070
ГАЗПРОМ ао;M;01.02.17;00:00:00;134;618092220
ГАЗПРОМ ао;M;01.03.17;00:00:00;127,9;754410290
ГАЗПРОМ ао;M;01.04.17;00:00:00;136,75;750182400
ГАЗПРОМ ао;M;01.05.17;00:00:00;120,28;683155600
ГАЗПРОМ ао;M;01.06.17;00:00:00;118,49;682977210
ГАЗПРОМ ао;M;01.07.17;00:00:00;116,1;572372360
ГАЗПРОМ ао;M;01.08.17;00:00:00;117,97;490084870
ГАЗПРОМ ао;M;01.09.17;00:00:00;122,2;615131840
ГАЗПРОМ ао;M;01.10.17;00:00:00;125,9;511657140
ГАЗПРОМ ао;M;01.11.17;00:00:00;132,15;670673200
ГАЗПРОМ ао;M;01.12.17;00:00:00;130,5;417311690
ГАЗПРОМ ао;M;01.01.18;00:00:00;143,36;758630450
ГАЗПРОМ ао;M;01.02.18;00:00:00;143,16;675058310
ГАЗПРОМ ао;M;01.03.18;00:00:00;142,33;550336390
ГАЗПРОМ ао;M;01.04.18;00:00:00;145,93;654967610
ГАЗПРОМ ао;M;01.05.18;00:00:00;145;457602320
ГАЗПРОМ ао;M;01.06.18;00:00:00;141,01;439786830
ГАЗПРОМ ао;M;01.07.18;00:00:00;143,79;403411200
ГАЗПРОМ ао;M;01.08.18;00:00:00;149,95;441314630
ГАЗПРОМ ао;M;01.09.18;00:00:00;162,61;553952660
ГАЗПРОМ ао;M;01.10.18;00:00:00;155,47;708218240
ГАЗПРОМ ао;M;01.11.18;00:00:00;161,29;554088010
ГАЗПРОМ ао;M;01.12.18;00:00:00;153,5;435896450
ГАЗПРОМ ао;M;01.01.19;00:00:00;162,82;394617870
ГАЗПРОМ ао;M;01.02.19;00:00:00;158,99;394761860
ГАЗПРОМ ао;M;01.03.19;00:00:00;149,61;424906810
ГАЗПРОМ ао;M;01.04.19;00:00:00;163,95;576420680
ГАЗПРОМ ао;M;01.05.19;00:00:00;215,1;1077221090
ГАЗПРОМ ао;M;01.06.19;00:00:00;232,83;918359340
ГАЗПРОМ ао;M;01.07.19;00:00:00;236,9;1185460410
ГАЗПРОМ ао;M;01.08.19;00:00:00;232,15;715634720
ГАЗПРОМ ао;M;01.09.19;00:00:00;225,9;514923280
ГАЗПРОМ ао;M;01.10.19;00:00:00;260;763625060
ГАЗПРОМ ао;M;01.11.19;00:00:00;257,54;1496648200
ГАЗПРОМ ао;M;01.12.19;00:00:00;256,4;850735710
ГАЗПРОМ ао;M;01.01.20;00:00:00;226,7;943229040
ГАЗПРОМ ао;M;01.02.20;00:00:00;202,65;1068549530
ГАЗПРОМ ао;M;01.03.20;00:00:00;181,41;2274256090
ГАЗПРОМ ао;M;01.04.20;00:00:00;190;1151699700
ГАЗПРОМ ао;M;01.05.20;00:00:00;199,95;1119152560
ГАЗПРОМ ао;M;01.06.20;00:00:00;194,31;949645980
ГАЗПРОМ ао;M;01.07.20;00:00:00;182,59;841671960
ГАЗПРОМ ао;M;01.08.20;00:00:00;182,9;716152090
Сбербанк;M;01.12.12;00:00:00;92,94;1191987680
Сбербанк;M;01.01.13;00:00:00;109,59;1723351580
Сбербанк;M;01.02.13;00:00:00;104,57;1612212000
Сбербанк;M;01.03.13;00:00:00;98,86;1691490080
Сбербанк;M;01.04.13;00:00:00;99,11;1576313810
Сбербанк;M;01.05.13;00:00:00;99,05;1514417130
Сбербанк;M;01.06.13;00:00:00;93,68;1603984540
Сбербанк;M;01.07.13;00:00:00;95,23;1721040080
Сбербанк;M;01.08.13;00:00:00;88,23;1414145480
Сбербанк;M;01.09.13;00:00:00;97,86;1926407650
Сбербанк;M;01.10.13;00:00:00;102,74;1935002670
Сбербанк;M;01.11.13;00:00:00;103,07;1659044880
Сбербанк;M;01.12.13;00:00:00;101,17;1563416090
Сбербанк;M;01.01.14;00:00:00;94,7;1427259190
Сбербанк;M;01.02.14;00:00:00;91,16;1510458530
Сбербанк;M;01.03.14;00:00:00;83,8;4898591710
Сбербанк;M;01.04.14;00:00:00;72,5;4013046200
Сбербанк;M;01.05.14;00:00:00;84,5;3001439250
Сбербанк;M;01.06.14;00:00:00;84,5;2008494660
Сбербанк;M;01.07.14;00:00:00;73,6;2551370010
Сбербанк;M;01.08.14;00:00:00;73,21;3076887590
Сбербанк;M;01.09.14;00:00:00;75,52;2891411920
Сбербанк;M;01.10.14;00:00:00;76,23;2905609940
Сбербанк;M;01.11.14;00:00:00;72,25;2030051460
Сбербанк;M;01.12.14;00:00:00;54,9;4337561310
Сбербанк;M;01.01.15;00:00:00;61,5;2691982770
Сбербанк;M;01.02.15;00:00:00;75,91;3583789870
Сбербанк;M;01.03.15;00:00:00;62,88;2785656310
Сбербанк;M;01.04.15;00:00:00;76,9;3217030850
Сбербанк;M;01.05.15;00:00:00;73,5;1830904250
Сбербанк;M;01.06.15;00:00:00;72,35;1885405260
Сбербанк;M;01.07.15;00:00:00;72,3;2690621070
Сбербанк;M;01.08.15;00:00:00;74,5;2488111940
Сбербанк;M;01.09.15;00:00:00;75,3;2008042110
Сбербанк;M;01.10.15;00:00:00;90,53;2849625200
Сбербанк;M;01.11.15;00:00:00;102,9;2286927960
Сбербанк;M;01.12.15;00:00:00;101,26;1880909280
Сбербанк;M;01.01.16;00:00:00;96,5;2060145470
Сбербанк;M;01.02.16;00:00:00;107;2184006710
Сбербанк;M;01.03.16;00:00:00;109,9;1959737430
Сбербанк;M;01.04.16;00:00:00;123,55;2125196160
Сбербанк;M;01.05.16;00:00:00;132,56;1387771330
Сбербанк;M;01.06.16;00:00:00;133;1550840130
Сбербанк;M;01.07.16;00:00:00;139,15;1224653180
Сбербанк;M;01.08.16;00:00:00;143,5;1150874110
Сбербанк;M;01.09.16;00:00:00;145,34;1118608200
Сбербанк;M;01.10.16;00:00:00;147,4;777345030
Сбербанк;M;01.11.16;00:00:00;158,7;1113951960
Сбербанк;M;01.12.16;00:00:00;173,25;1204467020
Сбербанк;M;01.01.17;00:00:00;172,2;989614480
Сбербанк;M;01.02.17;00:00:00;156;817013500
Сбербанк;M;01.03.17;00:00:00;159,8;980688220
Сбербанк;M;01.04.17;00:00:00;165,2;965518550
Сбербанк;M;01.05.17;00:00:00;155,93;825457660
Сбербанк;M;01.06.17;00:00:00;145,59;1249106940
Сбербанк;M;01.07.17;00:00:00;164,53;1056892340
Сбербанк;M;01.08.17;00:00:00;183,51;1066034430
Сбербанк;M;01.09.17;00:00:00;192,33;943835730
Сбербанк;M;01.10.17;00:00:00;193,8;745570010
Сбербанк;M;01.11.17;00:00:00;224,35;1254395580
Сбербанк;M;01.12.17;00:00:00;225,2;683304570
Сбербанк;M;01.01.18;00:00:00;264,5;840068720
Сбербанк;M;01.02.18;00:00:00;272,4;1032064390
Сбербанк;M;01.03.18;00:00:00;253,57;993704870
Сбербанк;M;01.04.18;00:00:00;226,99;2377768000
Сбербанк;M;01.05.18;00:00:00;222,36;1043698830
Сбербанк;M;01.06.18;00:00:00;218;1083180080
Сбербанк;M;01.07.18;00:00:00;214,86;1232290050
Сбербанк;M;01.08.18;00:00:00;182;1774159080
Сбербанк;M;01.09.18;00:00:00;203,32;1723030800
Сбербанк;M;01.10.18;00:00:00;189,8;1809539820
Сбербанк;M;01.11.18;00:00:00;194;1567568800
Сбербанк;M;01.12.18;00:00:00;186,3;1147560770
Сбербанк;M;01.01.19;00:00:00;217,9;1181569160
Сбербанк;M;01.02.19;00:00:00;207,8;1316335610
Сбербанк;M;01.03.19;00:00:00;214,42;1071950350
Сбербанк;M;01.04.19;00:00:00;225,17;1567685270
Сбербанк;M;01.05.19;00:00:00;233,24;1029175370
Сбербанк;M;01.06.19;00:00:00;238,55;1023004980
Сбербанк;M;01.07.19;00:00:00;233,49;780046580
Сбербанк;M;01.08.19;00:00:00;224,2;1024861980
Сбербанк;M;01.09.19;00:00:00;227,71;796864790
Сбербанк;M;01.10.19;00:00:00;234,89;894393040
Сбербанк;M;01.11.19;00:00:00;233,98;643074600
Сбербанк;M;01.12.19;00:00:00;254,75;666344120
Сбербанк;M;01.01.20;00:00:00;252,2;747137520
Сбербанк;M;01.02.20;00:00:00;233,36;919822790
Сбербанк;M;01.03.20;00:00:00;187,21;3001736660
Сбербанк;M;01.04.20;00:00:00;197,25;1768222700
Сбербанк;M;01.05.20;00:00:00;200,5;1359045230
Сбербанк;M;01.06.20;00:00:00;203,22;1522268370
Сбербанк;M;01.07.20;00:00:00;221,57;1088082960
Сбербанк;M;01.08.20;00:00:00;226,3;1262463920
