<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,60,20210203,110000,487.3000000
ROSN,60,20210203,120000,488.4000000
ROSN,60,20210203,130000,487.6500000
ROSN,60,20210203,140000,486.5000000
ROSN,60,20210203,150000,486.8500000
ROSN,60,20210203,160000,488.7000000
ROSN,60,20210203,170000,488.5000000
ROSN,60,20210203,180000,488.1500000
ROSN,60,20210203,190000,488.1500000
ROSN,60,20210203,200000,491.4500000
ROSN,60,20210203,210000,489.5500000
ROSN,60,20210203,220000,490.2000000
ROSN,60,20210203,230000,489.8000000
ROSN,60,20210204,000000,489.9500000
ROSN,60,20210204,110000,490.7000000
ROSN,60,20210204,120000,493.5500000
ROSN,60,20210204,130000,491.3500000
ROSN,60,20210204,140000,492.0000000
ROSN,60,20210204,150000,488.3500000
ROSN,60,20210204,160000,489.4500000
ROSN,60,20210204,170000,490.0500000
ROSN,60,20210204,180000,488.0000000
ROSN,60,20210204,190000,485.7500000
ROSN,60,20210204,200000,486.9500000
ROSN,60,20210204,210000,487.4000000
ROSN,60,20210204,220000,488.8000000
ROSN,60,20210204,230000,487.6000000
ROSN,60,20210205,000000,489.2000000
ROSN,60,20210205,110000,492.5500000
ROSN,60,20210205,120000,495.2500000
ROSN,60,20210205,130000,495.2500000
ROSN,60,20210205,140000,493.4500000
ROSN,60,20210205,150000,493.3500000
ROSN,60,20210205,160000,493.6500000
ROSN,60,20210205,170000,492.5500000
ROSN,60,20210205,180000,492.5000000
ROSN,60,20210205,190000,492.8500000
ROSN,60,20210205,200000,492.4000000
ROSN,60,20210205,210000,493.2500000
ROSN,60,20210205,220000,493.2000000
ROSN,60,20210205,230000,493.5000000
ROSN,60,20210206,000000,493.9500000
ROSN,60,20210208,110000,501.9500000
ROSN,60,20210208,120000,499.4000000
ROSN,60,20210208,130000,498.8500000
ROSN,60,20210208,140000,499.3000000
ROSN,60,20210208,150000,499.6000000
ROSN,60,20210208,160000,500.0000000
ROSN,60,20210208,170000,501.7500000
ROSN,60,20210208,180000,500.1500000
ROSN,60,20210208,190000,497.7000000
ROSN,60,20210208,200000,499.5000000
ROSN,60,20210208,210000,500.0000000
ROSN,60,20210208,220000,500.0000000
ROSN,60,20210208,230000,500.6000000
ROSN,60,20210209,000000,501.7500000
ROSN,60,20210209,110000,500.9000000
ROSN,60,20210209,120000,497.1000000
ROSN,60,20210209,130000,496.7000000
ROSN,60,20210209,140000,495.1500000
ROSN,60,20210209,150000,495.8500000
ROSN,60,20210209,160000,497.2500000
ROSN,60,20210209,170000,496.5500000
ROSN,60,20210209,180000,494.6500000
ROSN,60,20210209,190000,494.8500000
ROSN,60,20210209,200000,493.5000000
ROSN,60,20210209,210000,494.7000000
ROSN,60,20210209,220000,494.0500000
ROSN,60,20210209,230000,494.3500000
ROSN,60,20210210,000000,494.8000000
ROSN,60,20210210,110000,495.5000000
ROSN,60,20210210,120000,491.2000000
ROSN,60,20210210,130000,494.1000000
ROSN,60,20210210,140000,493.1000000
ROSN,60,20210210,150000,493.9000000
ROSN,60,20210210,160000,494.0000000
ROSN,60,20210210,170000,496.8000000
ROSN,60,20210210,180000,494.5500000
ROSN,60,20210210,190000,490.8500000
ROSN,60,20210210,200000,493.3000000
ROSN,60,20210210,210000,492.1000000
ROSN,60,20210210,220000,492.4000000
ROSN,60,20210210,230000,493.1000000
ROSN,60,20210211,000000,491.4500000
ROSN,60,20210211,110000,489.1500000
ROSN,60,20210211,120000,494.4500000
ROSN,60,20210211,130000,496.7500000
ROSN,60,20210211,140000,496.8000000
ROSN,60,20210211,150000,494.5000000
ROSN,60,20210211,160000,494.2500000
ROSN,60,20210211,170000,495.4000000
ROSN,60,20210211,180000,499.8500000
ROSN,60,20210211,190000,501.0000000
ROSN,60,20210211,200000,499.0000000
ROSN,60,20210211,210000,496.6000000
ROSN,60,20210211,220000,497.9500000
ROSN,60,20210211,230000,496.6000000
ROSN,60,20210212,000000,496.8000000
ROSN,60,20210212,110000,496.2000000
ROSN,60,20210212,120000,489.9000000
ROSN,60,20210212,130000,494.0500000
ROSN,60,20210212,140000,496.4500000
ROSN,60,20210212,150000,498.9000000
ROSN,60,20210212,160000,498.8000000
ROSN,60,20210212,170000,502.7000000
ROSN,60,20210212,180000,502.3500000
ROSN,60,20210212,190000,504.1500000
ROSN,60,20210212,200000,505.2500000
ROSN,60,20210212,210000,506.1000000
ROSN,60,20210212,220000,506.1000000
ROSN,60,20210212,230000,505.7000000
ROSN,60,20210213,000000,509.3500000
ROSN,60,20210215,110000,511.4000000
ROSN,60,20210215,120000,510.4000000
ROSN,60,20210215,130000,509.9000000
ROSN,60,20210215,140000,509.6500000
ROSN,60,20210215,150000,512.5500000
ROSN,60,20210215,160000,513.1000000
ROSN,60,20210215,170000,513.6000000
ROSN,60,20210215,180000,513.4000000
ROSN,60,20210215,190000,518.1500000
ROSN,60,20210215,200000,519.3000000
ROSN,60,20210215,210000,519.9000000
ROSN,60,20210215,220000,520.2000000
ROSN,60,20210215,230000,520.8500000
ROSN,60,20210216,000000,521.4500000
ROSN,60,20210216,110000,521.5500000
ROSN,60,20210216,120000,525.4000000
ROSN,60,20210216,130000,524.6000000
ROSN,60,20210216,140000,524.0000000
ROSN,60,20210216,150000,524.8000000
ROSN,60,20210216,160000,525.9500000
ROSN,60,20210216,170000,526.7000000
ROSN,60,20210216,180000,526.0500000
ROSN,60,20210216,190000,528.1000000
ROSN,60,20210216,200000,524.9000000
ROSN,60,20210216,210000,526.0000000
