<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MVID;D;22/08/19;000000;446.7000000;457.4000000;443.7000000;450.2000000;108260
MVID;D;23/08/19;000000;448.0000000;450.0000000;444.7000000;444.7000000;29020
MVID;D;26/08/19;000000;447.4000000;449.1000000;445.0000000;447.2000000;81990
MVID;D;27/08/19;000000;449.9000000;449.9000000;434.2000000;434.2000000;194730
MVID;D;28/08/19;000000;438.5000000;443.4000000;435.9000000;440.3000000;78550
MVID;D;29/08/19;000000;443.1000000;447.0000000;437.4000000;444.0000000;49290
MVID;D;30/08/19;000000;445.1000000;463.5000000;443.8000000;463.5000000;137900
MVID;D;02/09/19;000000;462.0000000;492.6000000;456.0000000;457.5000000;238430
MVID;D;03/09/19;000000;455.9000000;459.3000000;448.9000000;448.9000000;40860
MVID;D;04/09/19;000000;449.2000000;455.0000000;444.9000000;455.0000000;175720
MVID;D;05/09/19;000000;457.8000000;479.7000000;450.5000000;455.0000000;181490
MVID;D;06/09/19;000000;460.4000000;460.4000000;448.2000000;449.6000000;107240
MVID;D;09/09/19;000000;449.7000000;453.2000000;441.0000000;446.9000000;42500
MVID;D;10/09/19;000000;449.7000000;454.9000000;445.3000000;453.7000000;38550
MVID;D;11/09/19;000000;447.3000000;453.9000000;447.3000000;453.9000000;20320
MVID;D;12/09/19;000000;453.7000000;453.9000000;442.5000000;447.3000000;49880
MVID;D;13/09/19;000000;446.6000000;452.4000000;444.4000000;450.0000000;32550
MVID;D;16/09/19;000000;452.9000000;453.0000000;444.4000000;446.2000000;56800
MVID;D;17/09/19;000000;448.6000000;449.0000000;438.0000000;439.1000000;166490
MVID;D;18/09/19;000000;446.0000000;446.0000000;435.0000000;439.5000000;50130
MVID;D;19/09/19;000000;434.9000000;435.0000000;415.0000000;415.0000000;321480
MVID;D;20/09/19;000000;419.3000000;434.0000000;416.4000000;434.0000000;137430
MVID;D;23/09/19;000000;434.0000000;435.6000000;420.6000000;426.2000000;25730
MVID;D;24/09/19;000000;427.0000000;430.4000000;424.9000000;425.3000000;13030
MVID;D;25/09/19;000000;429.8000000;433.7000000;421.6000000;423.0000000;34580
MVID;D;26/09/19;000000;425.8000000;428.7000000;422.7000000;427.5000000;15190
MVID;D;27/09/19;000000;426.7000000;428.1000000;423.3000000;424.9000000;8380
MVID;D;30/09/19;000000;424.9000000;425.4000000;420.8000000;422.0000000;8240
MVID;D;01/10/19;000000;425.8000000;425.8000000;410.2000000;413.9000000;39450
MVID;D;02/10/19;000000;413.0000000;418.5000000;404.1000000;407.0000000;26390
MVID;D;03/10/19;000000;408.9000000;408.9000000;383.3000000;392.6000000;295870
MVID;D;04/10/19;000000;394.8000000;400.0000000;391.0000000;391.8000000;25710
MVID;D;07/10/19;000000;398.9000000;398.9000000;387.1000000;389.9000000;27090
MVID;D;08/10/19;000000;392.9000000;392.9000000;384.0000000;386.2000000;29030
MVID;D;09/10/19;000000;385.1000000;396.6000000;380.0000000;392.0000000;123150
MVID;D;10/10/19;000000;389.2000000;396.8000000;386.7000000;393.9000000;26180
MVID;D;11/10/19;000000;398.6000000;398.9000000;392.0000000;395.7000000;79390
MVID;D;14/10/19;000000;395.8000000;397.5000000;392.5000000;395.8000000;21520
MVID;D;15/10/19;000000;396.5000000;403.7000000;392.7000000;403.7000000;88140
MVID;D;16/10/19;000000;403.0000000;407.9000000;401.1000000;406.6000000;33990
MVID;D;17/10/19;000000;410.6000000;423.7000000;407.3000000;423.0000000;54420
MVID;D;18/10/19;000000;423.5000000;431.5000000;420.1000000;420.4000000;34660
MVID;D;21/10/19;000000;419.5000000;436.6000000;409.5000000;426.6000000;105360
MVID;D;22/10/19;000000;426.3000000;431.3000000;426.2000000;429.4000000;9880
MVID;D;23/10/19;000000;426.9000000;431.0000000;398.2000000;412.5000000;219210
MVID;D;24/10/19;000000;416.9000000;423.5000000;400.0000000;410.0000000;84310
MVID;D;25/10/19;000000;412.9000000;412.9000000;406.0000000;409.5000000;7350
MVID;D;28/10/19;000000;412.8000000;412.9000000;408.0000000;411.5000000;14950
MVID;D;29/10/19;000000;412.0000000;419.7000000;408.6000000;417.8000000;19770
MVID;D;30/10/19;000000;415.5000000;419.3000000;413.8000000;419.3000000;21420
MVID;D;31/10/19;000000;416.5000000;429.1000000;416.5000000;425.4000000;75300
MVID;D;01/11/19;000000;435.3000000;448.9000000;430.3000000;448.8000000;181470
MVID;D;05/11/19;000000;450.0000000;459.0000000;448.8000000;458.8000000;104040
MVID;D;06/11/19;000000;464.2000000;481.0000000;453.2000000;472.2000000;150900
MVID;D;07/11/19;000000;477.8000000;488.7000000;475.0000000;484.2000000;130900
MVID;D;08/11/19;000000;485.0000000;499.4000000;482.5000000;489.6000000;103550
MVID;D;11/11/19;000000;497.6000000;505.7000000;488.4000000;495.9000000;134960
MVID;D;12/11/19;000000;497.8000000;502.0000000;488.0000000;495.8000000;75490
MVID;D;13/11/19;000000;499.0000000;499.3000000;486.9000000;492.3000000;48970
MVID;D;14/11/19;000000;493.9000000;494.8000000;483.4000000;489.2000000;28360
MVID;D;15/11/19;000000;489.0000000;489.0000000;486.9000000;487.4000000;29260
MVID;D;18/11/19;000000;487.0000000;489.2000000;487.0000000;487.0000000;19690
MVID;D;19/11/19;000000;489.8000000;493.5000000;487.4000000;490.0000000;25520
MVID;D;20/11/19;000000;492.6000000;492.6000000;486.8000000;489.9000000;10530
MVID;D;21/11/19;000000;491.9000000;491.9000000;487.5000000;491.0000000;14210
MVID;D;22/11/19;000000;491.0000000;491.2000000;488.9000000;490.7000000;9090
MVID;D;25/11/19;000000;490.7000000;495.0000000;489.6000000;494.0000000;24770
MVID;D;26/11/19;000000;494.0000000;497.7000000;480.1000000;480.1000000;106310
MVID;D;27/11/19;000000;494.0000000;495.8000000;487.8000000;490.2000000;39670
MVID;D;28/11/19;000000;493.0000000;493.5000000;489.6000000;493.3000000;13410
MVID;D;29/11/19;000000;494.3000000;496.6000000;491.6000000;493.3000000;19300
MVID;D;02/12/19;000000;495.0000000;504.7000000;492.1000000;500.2000000;70300
MVID;D;03/12/19;000000;501.9000000;518.6000000;501.1000000;518.4000000;96470
MVID;D;04/12/19;000000;521.6000000;544.9000000;519.2000000;544.9000000;206460
MVID;D;05/12/19;000000;548.2000000;580.9000000;545.7000000;580.1000000;512080
MVID;D;06/12/19;000000;591.2000000;613.4000000;590.0000000;604.2000000;484920
MVID;D;09/12/19;000000;607.5000000;618.4000000;569.7000000;587.0000000;516410
MVID;D;10/12/19;000000;585.0000000;592.8000000;572.2000000;588.0000000;111530
MVID;D;11/12/19;000000;588.8000000;595.0000000;580.8000000;585.1000000;79090
MVID;D;12/12/19;000000;586.8000000;600.0000000;583.4000000;600.0000000;252370
MVID;D;13/12/19;000000;572.0000000;587.3000000;565.3000000;585.0000000;262870
MVID;D;16/12/19;000000;585.0000000;586.0000000;545.0000000;545.0000000;148960
MVID;D;17/12/19;000000;548.2000000;565.0000000;544.9000000;555.7000000;131380
MVID;D;18/12/19;000000;550.2000000;558.8000000;502.5000000;517.1000000;1329300
MVID;D;19/12/19;000000;520.9000000;529.5000000;512.0000000;515.5000000;219270
MVID;D;20/12/19;000000;519.5000000;519.9000000;490.4000000;499.0000000;331550
MVID;D;23/12/19;000000;503.4000000;506.6000000;492.3000000;501.0000000;89660
MVID;D;24/12/19;000000;504.7000000;514.7000000;496.0000000;508.1000000;137880
MVID;D;25/12/19;000000;512.4000000;538.0000000;508.4000000;529.0000000;387520
MVID;D;26/12/19;000000;531.1000000;544.3000000;528.0000000;531.5000000;218710
MVID;D;27/12/19;000000;531.2000000;539.7000000;511.7000000;523.9000000;190810
MVID;D;30/12/19;000000;521.1000000;529.5000000;515.2000000;518.6000000;64510
MVID;D;03/01/20;000000;522.2000000;526.0000000;519.2000000;526.0000000;60850
MVID;D;06/01/20;000000;525.1000000;525.2000000;518.0000000;519.5000000;29800
MVID;D;08/01/20;000000;521.5000000;521.5000000;510.4000000;514.9000000;55330
MVID;D;09/01/20;000000;512.2000000;518.0000000;511.0000000;514.9000000;69550
MVID;D;10/01/20;000000;517.8000000;525.0000000;515.5000000;522.4000000;62900
MVID;D;13/01/20;000000;520.5000000;524.5000000;512.0000000;512.0000000;51550
MVID;D;14/01/20;000000;516.3000000;520.0000000;508.2000000;508.2000000;87860
MVID;D;15/01/20;000000;510.9000000;514.7000000;508.2000000;509.0000000;29910
MVID;D;16/01/20;000000;512.0000000;512.0000000;509.0000000;509.2000000;34010
MVID;D;17/01/20;000000;510.0000000;512.0000000;508.6000000;510.4000000;43240
MVID;D;20/01/20;000000;514.7000000;518.3000000;510.1000000;516.6000000;73840
MVID;D;21/01/20;000000;518.3000000;523.6000000;515.1000000;522.0000000;94490
MVID;D;22/01/20;000000;523.6000000;526.1000000;518.2000000;518.8000000;54360
MVID;D;23/01/20;000000;515.3000000;520.9000000;508.6000000;516.0000000;54490
MVID;D;24/01/20;000000;517.6000000;520.0000000;516.0000000;519.8000000;29410
MVID;D;27/01/20;000000;519.8000000;530.0000000;515.0000000;523.7000000;78720
MVID;D;28/01/20;000000;524.1000000;536.7000000;510.0000000;516.4000000;152390
MVID;D;29/01/20;000000;515.9000000;516.7000000;511.1000000;514.0000000;39510
MVID;D;30/01/20;000000;513.6000000;513.6000000;496.7000000;509.0000000;58740
MVID;D;31/01/20;000000;508.7000000;519.8000000;505.0000000;519.8000000;77360
MVID;D;03/02/20;000000;518.0000000;518.0000000;507.2000000;510.4000000;39270
MVID;D;04/02/20;000000;512.9000000;513.4000000;510.1000000;511.7000000;20880
MVID;D;05/02/20;000000;511.8000000;512.9000000;508.1000000;512.0000000;29880
MVID;D;06/02/20;000000;509.2000000;514.0000000;509.0000000;514.0000000;20060
MVID;D;07/02/20;000000;513.1000000;513.1000000;506.0000000;508.5000000;16080
MVID;D;10/02/20;000000;509.3000000;511.1000000;505.5000000;508.8000000;16010
MVID;D;11/02/20;000000;508.9000000;512.4000000;507.0000000;512.4000000;22570
MVID;D;12/02/20;000000;511.6000000;514.0000000;509.2000000;511.9000000;19370
MVID;D;13/02/20;000000;510.4000000;511.9000000;508.3000000;510.0000000;26690
MVID;D;14/02/20;000000;511.1000000;511.1000000;507.4000000;511.0000000;30940
MVID;D;17/02/20;000000;510.3000000;513.0000000;508.0000000;508.0000000;45710
MVID;D;18/02/20;000000;508.1000000;508.3000000;500.1000000;501.7000000;42390
MVID;D;19/02/20;000000;504.1000000;506.7000000;502.4000000;504.0000000;16660
MVID;D;20/02/20;000000;503.0000000;506.3000000;503.0000000;504.1000000;19070
MVID;D;21/02/20;000000;504.6000000;505.1000000;502.9000000;504.0000000;20120
MVID;D;25/02/20;000000;499.2000000;499.2000000;377.0000000;473.8000000;156820
MVID;D;26/02/20;000000;469.9000000;472.7000000;450.7000000;469.0000000;142820
MVID;D;27/02/20;000000;459.4000000;496.6000000;459.0000000;490.0000000;283710
MVID;D;28/02/20;000000;460.2000000;500.3000000;460.2000000;484.1000000;272390
MVID;D;02/03/20;000000;498.5000000;506.0000000;485.0000000;494.4000000;139780
MVID;D;03/03/20;000000;499.1000000;507.5000000;493.6000000;507.5000000;88570
MVID;D;04/03/20;000000;502.4000000;507.9000000;501.0000000;507.0000000;20650
MVID;D;05/03/20;000000;507.9000000;516.9000000;505.7000000;512.0000000;59540
MVID;D;06/03/20;000000;508.1000000;518.0000000;505.0000000;517.9000000;78870
MVID;D;10/03/20;000000;499.8000000;499.8000000;479.4000000;484.5000000;188020
MVID;D;11/03/20;000000;484.2000000;495.8000000;481.7000000;485.0000000;76870
MVID;D;12/03/20;000000;470.3000000;490.0000000;412.5000000;490.0000000;238600
MVID;D;13/03/20;000000;472.0000000;487.9000000;460.2000000;465.0000000;136190
MVID;D;16/03/20;000000;470.8000000;471.9000000;425.4000000;440.5000000;237860
MVID;D;17/03/20;000000;458.0000000;468.8000000;427.0000000;432.6000000;161420
MVID;D;18/03/20;000000;433.0000000;445.6000000;381.0000000;431.0000000;216070
MVID;D;19/03/20;000000;421.6000000;432.6000000;402.0000000;403.3000000;131900
MVID;D;20/03/20;000000;413.0000000;426.9000000;388.0000000;388.0000000;613610
MVID;D;23/03/20;000000;386.3000000;417.0000000;360.2000000;385.3000000;219620
MVID;D;24/03/20;000000;393.8000000;412.9000000;389.8000000;389.8000000;142510
MVID;D;25/03/20;000000;396.8000000;408.3000000;382.1000000;387.9000000;233880
MVID;D;26/03/20;000000;392.6000000;415.0000000;381.1000000;410.0000000;420090
MVID;D;27/03/20;000000;403.8000000;408.9000000;387.4000000;387.4000000;65200
MVID;D;30/03/20;000000;380.0000000;393.5000000;375.2000000;387.0000000;84830
MVID;D;31/03/20;000000;389.5000000;390.0000000;386.3000000;390.0000000;164240
MVID;D;01/04/20;000000;388.3000000;389.9000000;385.0000000;385.0000000;52170
MVID;D;02/04/20;000000;389.3000000;389.9000000;368.6000000;371.5000000;252420
MVID;D;03/04/20;000000;370.0000000;373.8000000;365.1000000;365.1000000;149130
MVID;D;06/04/20;000000;368.4000000;370.8000000;365.0000000;366.9000000;130180
MVID;D;07/04/20;000000;367.6000000;385.6000000;367.1000000;377.8000000;356860
MVID;D;08/04/20;000000;384.5000000;384.5000000;374.1000000;380.4000000;57340
MVID;D;09/04/20;000000;383.4000000;386.0000000;378.0000000;381.3000000;138080
MVID;D;10/04/20;000000;380.8000000;382.6000000;365.0000000;379.5000000;93800
MVID;D;13/04/20;000000;379.5000000;380.2000000;371.5000000;373.1000000;95310
MVID;D;14/04/20;000000;372.4000000;376.5000000;368.3000000;372.2000000;103240
MVID;D;15/04/20;000000;371.8000000;371.8000000;351.6000000;353.0000000;178200
MVID;D;16/04/20;000000;357.7000000;359.6000000;336.1000000;342.1000000;281040
MVID;D;17/04/20;000000;348.8000000;348.9000000;330.3000000;337.0000000;334790
MVID;D;20/04/20;000000;338.2000000;345.9000000;332.7000000;342.6000000;102390
MVID;D;21/04/20;000000;338.0000000;352.0000000;334.0000000;349.0000000;197200
MVID;D;22/04/20;000000;348.3000000;367.0000000;345.3000000;361.1000000;216400
MVID;D;23/04/20;000000;363.0000000;369.0000000;353.7000000;357.6000000;85590
MVID;D;24/04/20;000000;363.8000000;368.3000000;351.0000000;352.2000000;84070
MVID;D;27/04/20;000000;355.1000000;364.7000000;355.1000000;360.6000000;110930
MVID;D;28/04/20;000000;364.8000000;373.9000000;362.0000000;362.0000000;261610
MVID;D;29/04/20;000000;365.1000000;369.6000000;362.6000000;365.1000000;251860
MVID;D;30/04/20;000000;368.3000000;370.5000000;363.3000000;363.7000000;136480
MVID;D;04/05/20;000000;365.3000000;365.4000000;356.2000000;358.6000000;70420
MVID;D;05/05/20;000000;362.5000000;364.6000000;358.2000000;362.4000000;60590
MVID;D;06/05/20;000000;363.8000000;367.6000000;360.5000000;363.4000000;77640
MVID;D;07/05/20;000000;363.7000000;366.2000000;359.1000000;361.9000000;54150
MVID;D;08/05/20;000000;361.0000000;363.5000000;358.2000000;362.0000000;44290
MVID;D;12/05/20;000000;362.2000000;364.7000000;360.0000000;360.0000000;46680
MVID;D;13/05/20;000000;360.5000000;361.0000000;353.0000000;354.0000000;72760
MVID;D;14/05/20;000000;352.0000000;361.6000000;346.0000000;351.7000000;100610
MVID;D;15/05/20;000000;355.4000000;359.0000000;341.0000000;345.1000000;109520
MVID;D;18/05/20;000000;347.8000000;351.0000000;340.5000000;341.0000000;229080
MVID;D;19/05/20;000000;341.9000000;346.4000000;335.3000000;337.5000000;412310
MVID;D;20/05/20;000000;337.0000000;344.0000000;333.0000000;341.4000000;499230
MVID;D;21/05/20;000000;344.3000000;359.7000000;343.1000000;353.0000000;448730
MVID;D;22/05/20;000000;353.0000000;353.8000000;340.0000000;343.4000000;560390
MVID;D;25/05/20;000000;347.0000000;353.1000000;345.2000000;348.4000000;152840
MVID;D;26/05/20;000000;350.7000000;353.0000000;348.0000000;351.0000000;265390
MVID;D;27/05/20;000000;349.5000000;355.0000000;345.6000000;348.4000000;288630
MVID;D;28/05/20;000000;351.3000000;352.0000000;346.0000000;348.5000000;752550
MVID;D;29/05/20;000000;349.7000000;354.8000000;340.0000000;340.0000000;1297430
MVID;D;01/06/20;000000;347.8000000;352.9000000;346.0000000;351.9000000;389280
MVID;D;02/06/20;000000;353.7000000;396.5000000;352.2000000;395.0000000;1608910
MVID;D;03/06/20;000000;397.9000000;412.0000000;382.5000000;394.4000000;1586680
MVID;D;04/06/20;000000;395.2000000;396.3000000;378.2000000;386.1000000;468650
MVID;D;05/06/20;000000;393.8000000;409.4000000;386.3000000;408.0000000;641550
MVID;D;08/06/20;000000;410.0000000;429.9000000;407.7000000;418.0000000;834580
MVID;D;09/06/20;000000;421.9000000;426.5000000;400.3000000;419.0000000;526690
MVID;D;10/06/20;000000;419.7000000;423.8000000;408.1000000;415.0000000;327570
MVID;D;11/06/20;000000;410.3000000;419.4000000;404.0000000;412.6000000;588440
MVID;D;15/06/20;000000;404.4000000;410.6000000;398.0000000;407.5000000;204210
MVID;D;16/06/20;000000;412.4000000;419.6000000;405.2000000;410.5000000;259480
MVID;D;17/06/20;000000;413.5000000;414.5000000;407.0000000;407.0000000;116390
MVID;D;18/06/20;000000;409.7000000;409.7000000;402.2000000;405.2000000;141610
MVID;D;19/06/20;000000;407.7000000;410.3000000;387.7000000;387.7000000;530440
MVID;D;22/06/20;000000;392.4000000;409.0000000;392.4000000;406.2000000;412520
MVID;D;23/06/20;000000;405.5000000;411.9000000;401.1000000;401.1000000;191250
MVID;D;25/06/20;000000;399.5000000;404.7000000;395.3000000;400.0000000;217880
MVID;D;26/06/20;000000;400.6000000;409.0000000;400.3000000;407.8000000;226450
MVID;D;29/06/20;000000;400.3000000;407.1000000;398.2000000;404.7000000;206690
MVID;D;30/06/20;000000;404.8000000;413.8000000;402.0000000;406.7000000;257430
MVID;D;02/07/20;000000;407.0000000;409.5000000;404.0000000;404.3000000;129670
